"Cisco Identity Services Engine Log Messages Reference, Release 2.0",,,,
Message Code,Message Class,Message Text,Message Description,Severity
12608,EAP,Extracted EAP-Response containing EAP-GTC challenge-response for inner method and accepting EAP-GTC as negotiated,"From the EAP-Response packet encountered in the outer EAP method, extracted an EAP-Response packet containing an EAP-GTC challenge-response, and accepting EAP-GTC as negotiated for the inner method.",Info
12609,EAP,Failed to negotiate EAP for inner method because EAP-GTC not allowed in the Allowed Protocols,"The client's supplicant sent an EAP-Response/NAK packet rejecting the EAP-based protocol previously proposed for the inner method, and requesting to use EAP-GTC instead. However, EAP-GTC is not allowed in Allowed Protocols.",Warning
12610,EAP,Extracted EAP-Response for inner method containing GTC challenge-response,Continuing the inner EAP-GTC protocol; processing the EAP-GTC challenge-response in the extracted EAP-Response.,Info
12611,EAP,Prepared EAP-Request for inner method with another EAP-GTC challenge,"As part of the continuation of the inner EAP-GTC protocol, created an EAP-Request packet containing another EAP-GTC challenge, for encapsulation within the outer EAP method's outgoing EAP-Request packet, and for ultimate attachment to a RADIUS message.",Info
12612,EAP,EAP-GTC authentication succeeded,EAP-GTC authentication succeeded.,Info
12613,EAP,EAP-GTC authentication failed,EAP-GTC authentication failed.,Info
12614,EAP,Inner EAP-GTC authentication succeeded,Inner EAP-GTC authentication succeeded.,Info
12615,EAP,Inner EAP-GTC authentication failed,Inner EAP-GTC authentication failed.,Info
12616,EAP,GTC username doesn't match inner method EAP-Response/Identity,The GTC username does not match the username received in the inner method EAP-Response/Identity packet. One possible reason might be that the client's supplicant is preconfigured with another username not matching that entered by the user.,Warning
12617,EAP,Internal Error: invalid EAP-GTC state,Internal Error: invalid EAP-GTC state.,Warning
12618,EAP,Failed to parse EAP-GTC packet,Failed to parse EAP-GTC packet.,Info
12619,EAP,Received EAP-GTC packet with invalid argument,Received EAP-GTC packet with an invalid argument.,Info
12621,EAP,EAP-GTC password change attempt failed,The attempt to change the password failed because the Allowed Protocols does not allow password change for the GTC inner method.,Info
12622,EAP,EAP-GTC password change attempt passed,The EAP-GTC password change attempt has passed.,Debug
12623,EAP,EAP-GTC authentication attempt failed,The EAP-GTC authentication attempt has failed.,Info
12624,EAP,EAP-GTC authentication attempt passed,The EAP-GTC authentication attempt has passed.,Debug
12625,EAP,Valid EAP-Key-Name attribute received,A valid EAP-Key-Name attribute was received. ISE will provide the EAP-Key-Name attribute filled with EAP-Session-ID on RADIUS Access-Accept message.,Debug
12626,EAP,Invalid EAP-Key-Name attribute received,An invalid EAP-Key-Name attribute was received. The attribute value must be empty.,Warning
12628,EAP,Invalid operation performed,"Internal Error, invalid operation performed, can not continue current conversation. Refer to Debug log for detailed Information and contact TAC engineer to report the problem.",Warning
12650,EAP,Invalid operation performed,"Internal Error, invalid operation performed. Refer to Debug log for detailed Information and contact TAC engineer to report the problem.",Warning
12651,EAP,Accept client on authenticated provisioning,Accept client on authenticated provisioning.,Info
12652,EAP,Accept client on provisioning after invalid PAC fallback,Accept client on provisioning after invalid PAC fallback.,Info
12653,EAP,Failed to negotiate EAP for inner method because EAP-GTC denied for anonymous PAC provisioning,"The client's supplicant sent an EAP-Response/NAK packet rejecting the EAP-based protocol previously proposed for the inner method, and requesting to use EAP-GTC instead. However, EAP-GTC cannot be used for anonymous PAC provisioning.",Warning
12700,EAP,Prepared EAP-Request proposing LEAP with challenge,"Created an EAP-Request packet to propose to use the LEAP protocol, and also providing a LEAP challenge, for attachment to a RADIUS message. The LEAP protocol was proposed because it was one of the EAP-based protocols allowed in Allowed Protocols.",Info
12701,EAP,Extracted EAP-Response/NAK requesting to use LEAP instead,"Extracted from the RADIUS message an EAP-Response/NAK packet, rejecting the previously-proposed EAP-based protocol, and requesting to use LEAP instead, per the configuration of the client's supplicant.",Info
12702,EAP,Extracted EAP-Response containing LEAP challenge-response and accepting LEAP as negotiated,"Extracted from the RADIUS message an EAP-Response packet containing a LEAP challenge-response, and accepting LEAP as negotiated.",Info
12703,EAP,Failed to negotiate EAP because LEAP not allowed in the Allowed Protocols,"The client's supplicant sent an EAP-Response/NAK packet rejecting the previously-proposed EAP-based protocol, and requesting to use LEAP instead. However, LEAP is not allowed in Allowed Protocols.",Warning
12704,EAP,LEAP completed. Sent EAP-Response containing LEAP challenge-response and cisco-av-pair containing LEAP session-key,"Completed the LEAP protocol. Sent the LEAP challenge-response in EAP-Response, and LEAP session-key in cisco-av-pair.",Info
12705,EAP,LEAP authentication passed; Continuing protocol,LEAP authentication passed. Continue LEAP protocol.,Info
12706,EAP,LEAP authentication failed; Finishing protocol,LEAP authentication has failed. Protocol finished with a failure.,Info
12707,EAP,LEAP authentication Error; Finishing protocol,A LEAP authentication Error has occurred. Protocol finished with an Error.,Info
12708,EAP,LEAP packet validation failed,Failed to validate LEAP packet.,Warning
12709,EAP,LEAP packet parsing failed,Failed to parse LEAP packet.,Warning
12710,EAP,LEAP internal Error: Invalid state,LEAP internal Error: Invalid state.,Warning
12711,EAP,LEAP internal Error: LEAP challenge not created,LEAP internal Error: LEAP challenge not created.,Warning
12712,EAP,LEAP internal Error: LEAP challenge-response and session-key not created,LEAP internal Error: LEAP challenge-response and session-key were not created.,Warning
12750,EAP,Failed to negotiate EAP for inner method because EAP-MSCHAP not allowed under PEAP configuration in the Allowed Protocols,"The client's supplicant sent an EAP-Response/NAK packet rejecting the EAP-based protocol previously proposed for the inner method, and requesting to use EAP-MSCHAP instead. However, EAP-MSCHAP is not allowed under PEAP configuration in Allowed Protocols.",Warning
12751,EAP,Failed to negotiate EAP for inner method because EAP-MSCHAP not allowed under EAP-FAST configuration in the Allowed Protocols,"The client's supplicant sent an EAP-Response/NAK packet rejecting the EAP-based protocol previously proposed for the inner method, and requesting to use EAP-MSCHAP instead. However, EAP-MSCHAP is not allowed under EAP-FAST configuration in Allowed Protocols.",Warning
12752,EAP,Failed to negotiate EAP for inner method because EAP-TLS not allowed under PEAP configuration in the Allowed Protocols,"The client's supplicant sent an EAP-Response/NAK packet rejecting the EAP-based protocol that was previously proposed for the inner method, and requested to use EAP-TLS instead. However, ISE does not allow EAP-TLS under PEAP configuration in the Allowed Protocols.",Warning
12753,EAP,Failed to negotiate EAP for inner method because EAP-TLS not allowed under EAP-FAST configuration in the Allowed Protocols,"The client's supplicant sent an EAP-Response/NAK packet rejecting the EAP-based protocol that was previously proposed for the inner method, and requested to use EAP-TLS instead. However, ISE does not allow EAP-TLS under EAP-FAST configuration in the Allowed Protocols.",Warning
12754,EAP,Failed to negotiate EAP for inner method because EAP-GTC not allowed under PEAP configuration in the Allowed Protocols,"The client's supplicant sent an EAP-Response/NAK packet rejecting the EAP-based protocol previously proposed for the inner method, and requesting to use EAP-GTC instead. However, EAP-GTC is not allowed under PEAP configuration in Allowed Protocols.",Warning
12755,EAP,Failed to negotiate EAP for inner method because EAP-GTC not allowed under EAP-FAST configuration in the Allowed Protocols,"The client's supplicant sent an EAP-Response/NAK packet rejecting the EAP-based protocol that was previously proposed for the inner method, and requested to use EAP-GTC instead. However, ISE does not allow EAP-GTC under EAP-FAST configuration in Allowed Protocols.",Warning
12800,EAP,Extracted first TLS record; TLS handshake started,"For the first time in the current EAP conversation, extracted from the EAP-Response packet a TLS record, presumably containing in turn a TLS ClientHello message. ISE recognizes this as an attempt by the client's supplicant to initiate a TLS handshake.",Info
12801,EAP,Prepared TLS ChangeCipherSpec message,"As part of the TLS handshake currently in progress, prepared a TLS record containing a TLS ChangeCipherSpec message, for encapsulation within the outgoing EAP-Request packet, and for ultimate attachment to a RADIUS message.",Info
12802,EAP,Prepared TLS Finished message,"As part of the TLS handshake currently in progress, prepared a TLS record containing a TLS Finished message, for encapsulation within the outgoing EAP-Request packet, and for ultimate attachment to a RADIUS message. ISE is indicating that it is ready to finish the TLS handshake.",Info
12803,EAP,Extracted TLS ChangeCipherSpec message,"As part of the TLS handshake currently in progress, extracted from the EAP-Response packet a TLS record containing a TLS ChangeCipherSpec message.",Info
12804,EAP,Extracted TLS Finished message,"As part of the TLS handshake currently in progress, extracted from the EAP-Response packet a TLS record containing a TLS Finished message. The client's supplicant is indicating that it is ready to finish the TLS handshake.",Info
12805,EAP,Extracted TLS ClientHello message,"As part of the TLS handshake currently in progress, prepared a TLS record containing a TLS ServerHello message, for encapsulation within the outgoing EAP-Request packet, and for ultimate attachment to a RADIUS message.",Info
12806,EAP,Prepared TLS ServerHello message,"As part of the TLS handshake currently in progress, prepared a TLS record containing a TLS ServerHello message, for encapsulation within the outgoing EAP-Request packet, and for ultimate attachment to a RADIUS message.",Info
12807,EAP,Prepared TLS Certificate message,"As part of the TLS handshake currently in progress, prepared a TLS record containing a TLS Certificate message, in turn containing the ISE local server certificate, for encapsulation within the outgoing EAP-Request packet, and for ultimate attachment to a RADIUS message.",Info
12808,EAP,Prepared TLS ServerKeyExchange message,"As part of the TLS handshake currently in progress, prepared a TLS record containing a TLS ServerKeyExchange message, for encapsulation within the outgoing EAP-Request packet, and for ultimate attachment to a RADIUS message.",Info
12809,EAP,Prepared TLS CertificateRequest message,"As part of the TLS handshake currently in progress, prepared a TLS record containing a TLS CertificateRequest message, for encapsulation within the outgoing EAP-Request packet, and for ultimate attachment to a RADIUS message.",Info
12810,EAP,Prepared TLS ServerDone message,"As part of the TLS handshake currently in progress, prepared a TLS record containing a TLS ServerDone message, for encapsulation within the outgoing EAP-Request packet, and for ultimate attachment to a RADIUS message.",Info
12811,EAP,Extracted TLS Certificate message containing client certificate,"As part of the TLS handshake currently in progress, extracted from the EAP-Response packet a TLS record containing a TLS Certificate message, in turn containing the client's certificate.",Info
12812,EAP,Extracted TLS ClientKeyExchange message,"As part of the TLS handshake currently in progress, extracted from the EAP-Response packet a TLS record containing a TLS ClientKeyExchange message.",Info
12813,EAP,Extracted TLS CertificateVerify message,"As part of the TLS handshake currently in progress, extracted from the EAP-Response packet a TLS record containing a TLS CertificateVerify message.",Info
12814,EAP,Prepared TLS Alert message,"ISE has detected a problem with the TLS handshake currently in progress. Prepared a TLS record containing a TLS Alert message, for encapsulation within the outgoing EAP-Request packet, and for ultimate attachment to a RADIUS message.",Info
12815,EAP,Extracted TLS Alert message,"As part of the TLS handshake currently in progress, extracted from the EAP-Response packet a TLS record containing a TLS Alert message, indicating that the client has detected a problem with the handshake.",Info
12816,EAP,TLS handshake succeeded,The TLS handshake initiated by the client's supplicant has completed successfully.,Info
12817,EAP,TLS handshake failed,The TLS handshake initiated by the client's supplicant has failed. ,Info
12818,EAP,Expected TLS acknowledge for last alert but received another message,ISE recently sent TLS alert to supplicant and expected TLS acknowledge from supplicant for the alert but received another message. This could be due to a possible incomformity in the implementation of the protocol between ISE and the supplicant.,Warning
12819,EAP,Expected TLS acknowledge for handshake succeeded but received another message,ISE recently has successfully finished TLS handshake with the supplicant and expected TLS acknowledge from supplicant to confirm the handshake but received another message. This could be due to improper supplicant configuration or a possible incomformity in the implementation of the protocol between ISE and the supplicant.,Warning
12830,CRL,CRL verification bypassed,ISE was unable to download CRL; CRL verification bypassed.,Warning
12831,CRL,Unable to download CRL,ISE was unable to download CRL; CRL verification bypassed.,Warning
12832,EAP,Tunnel build with local server certificate is not yet active or it has already expired,Local server certificate has a specific period of time when it is active and can be used. The certificate can not be used now because of either its 'Valid From' field is greater than the current date and time or its ‘Valid To’ field is less than the current date and time.,Warning
12833,EAP,EAP-FAST provisioning mode is restricted to anonymous,"Local server certificate is invalid because it is not yet active or it has already expired. Thus, the EAP-FAST provisioning mode is restricted to anonymous (if anonymous provisioning is allowed in configuration) Authenticated provisioning is prohibited even if is allowed in configuration.",Warning
12834,CRL,ISE used a CRL that is not active yet or has expired,ISE used a CRL even though it is not yet active or has expired.,Warning
12835,EAP,Expired certificate was accepted from the client,ISE accepted expired user or machine certificate per configuration,WARN
12850,EAP,Received NAK TLV. Client rejected the conversation,ISE expects for regular conversation continuation but client sent NAK TLV inside the tunnel. It means that client rejected conversation for some reason that is unknown to ISE. Known issue: CSSC 5.1.1.10 sends NAK TLV during EAP-FAST/EAP-GTC conversation to reject the conversation according to user's input.,WARN
12851,EAP,Received unexpected EAP NAK message. Client rejected the conversation,ISE expects for regular conversation continuation but client sent outer EAP method NAK message. It means that client rejected conversation for some reason that is unknown to ISE. Known issue: CSSC 5.1.1.10 sends outer EAP method NAK during EAP-FAST/EAP-GTC conversation to reject the conversation according to user's input.,WARN
12852,EAP,Cryptographic processing of received buffer failed,ISE received invalid encrypted buffer from client. Cryptographic processing of this buffer failed.,WARN
12853,EAP,Empty EAP-GTC message received,ISE received empty EAP-GTC message inside the tunnel during EAP-FAST conversation. Known issue: CSSC 5.1.1.10 sends empty EaP-GTC message after it prompts user to retry entering passcode.,WARN
12854,EAP,Cannot authenticate because password was not present or was empty,ISE did not receive user password or received empty password. Plain password authentication cannot be performed with no password or empty password,WARN
12855,EAP,PAC was not sent due to authorization failure,ISE did not send a PAC to the supplicant because authorization failed and thus the whole conversation is considered failed,INFO
12856,EAP,User certificate was revoked by CRL verification,CRL verification returned revoked certificate status.,INFO
12857,EAP,Client certificate authentication failed,Client certificate authentication failed,WARN
12915,EAP,PEAP version negotiation failed,PEAP version negotiation failed because supplicant proposed version 1 while the option 'Allow PEAPv 0 Only' is turned on.,WARN
12916,EAP,Expected TLS acknowledge for TLS fragment but received another message,ISE recently has sent another TLS fragment to the supplicant and expected TLS acknowledge from supplicant to confirm the fragment before sending it the next one but received another message. This could be due to improper supplicant configuration or a possible incomformity in the implementation of the protocol between ISE and the supplicant.,WARN
12917,EAP,Expected TLS acknowledge for PEAPv1 protected termination but received another message,ISE recently has sent PEAPv1 protected termination EAP Success message to the supplicant and expected TLS acknowledge from supplicant to confirm that but received another message. This could be due to improper supplicant configuration or a possible incomformity in the implementation of the protocol between ISE and the supplicant.,WARN
12918,EAP,Supplicant sent unmatched EAP Response packet identifier,ISE sent EAP Request to the supplicant with a certain identifier. According to EAP specification supplicant must respond to this request with EAP Response packet with the same identifier. However the EAP identifier in the response was different from the request.,WARN
12919,EAP,Supplicant sent unmatched inner EAP Response packet identifier,ISE sent inner EAP Request to the supplicant with a certain identifier. According to EAP specification supplicant must respond to this request with EAP Response packet with the same identifier. However the EAP identifier in the response was different from the request.,WARN
12929,RADIUS,NAS sends RADIUS accounting update messages too frequently,NAS sends RADIUS accounting update messages too frequently,WARN
12930,Failed-Attempt,Supplicant stopped responding to ISE after sending it the first PEAP message,Supplicant stopped responding to ISE after sending it the first PEAP message,WARN
12931,Failed-Attempt,Supplicant stopped responding to ISE after sending it the first EAP-TLS message,Supplicant stopped responding to ISE after sending it the first EAP-TLS message,WARN
12932,Failed-Attempt,Supplicant stopped responding to ISE after sending it the first EAP-FAST message,Supplicant stopped responding to ISE after sending it the first EAP-FAST message,WARN
12933,Failed-Attempt,Supplicant stopped responding to ISE during EAP-FAST tunnel establishment,Supplicant stopped responding to ISE during EAP-FAST tunnel establishment,Warning
12934,Failed-Attempt,Supplicant stopped responding to ISE during PEAP tunnel establishment,Supplicant stopped responding to ISE during PEAP tunnel establishment,Warning
12935,Failed-Attempt,Supplicant stopped responding to ISE during EAP-TLS certificate exchange,Supplicant stopped responding to ISE during EAP-TLS certificate exchange,Warning
12936,Failed-Attempt,Supplicant stopped responding to ISE after sending it inner EAP Identity Request,Supplicant stopped responding to ISE after sending it inner EAP Identity Request,Warning
12937,Failed-Attempt,Supplicant stopped responding to ISE after sending it the first inner EAP-MSCHAPv2 message,Supplicant stopped responding to ISE after sending it the first inner EAP-MSCHAPv2 message,Warning
12938,Failed-Attempt,Supplicant stopped responding to ISE after sending it the first inner EAP-GTC message,Supplicant stopped responding to ISE after sending it the first inner EAP-GTC message,Warning
12939,Failed-Attempt,Supplicant stopped responding to ISE after sending it the first inner EAP-TLS message,Supplicant stopped responding to ISE after sending it the first inner EAP-TLS message,Warning
12940,Failed-Attempt,Supplicant stopped responding to ISE during conducting inner EAP-MSCHAPv2 method,Supplicant stopped responding to ISE during conducting inner EAP-MSCHAPv2 method,Warning
12941,Failed-Attempt,Supplicant stopped responding to ISE during conducting inner EAP-GTC method,Supplicant stopped responding to ISE during conducting inner EAP-GTC method,Warning
12942,Failed-Attempt,Supplicant stopped responding to ISE during conducting inner EAP-TLS method,Supplicant stopped responding to ISE during conducting inner EAP-TLS method,Warning
12943,Failed-Attempt,Supplicant stopped responding to ISE during PEAPv0 protected termination,Supplicant stopped responding to ISE during PEAPv0 protected termination,Warning
12944,Failed-Attempt,Supplicant stopped responding to ISE during PEAPv1 protected termination,Supplicant stopped responding to ISE during PEAPv1 protected termination,Warning
12945,Failed-Attempt,Supplicant stopped responding to ISE during EAP-FAST protected termination,Supplicant stopped responding to ISE during EAP-FAST protected termination,Warning
12946,Failed-Attempt,Supplicant stopped responding to ISE during LEAP,Supplicant stopped responding to ISE during LEAP,Warning
12947,Failed-Attempt,Supplicant stopped responding to ISE during EAP-MD5,Supplicant stopped responding to ISE during EAP-MD5,Warning
12948,Failed-Attempt,Supplicant sent unexpected unencrypted TLS handshake message instead of TLS application data in PEAP protocol,Supplicant sent unexpected unencrypted TLS handshake message instead of TLS application data in PEAP protocol,Warning
12949,Failed-Attempt,Supplicant sent malformed PEAP message - wrong block cipher padding,Supplicant sent malformed PEAP message - wrong block cipher padding,Warning
12950,Failed-Attempt,Supplicant sent malformed PEAP message - bad record MAC,Supplicant sent malformed PEAP message - bad record MAC,Warning
12951,Failed-Attempt,Unexpected renegotiation received. Renegotiation is not supported in PEAP,Unexpected renegotiation received. Renegotiation is not supported in PEAP,Warning
12952,EAP,Received EAP packet from the middle of conversation but the conversation was not started on this PSN,Session does not belong to this PSN according to hostname. Possible unexpected NAD behavior. Maybe NAD sent a packet from the middle of the conversation with another PSN.,Warning
12953,EAP,Received EAP packet from the middle of conversation that contains a session on this PSN that does not exist,Session was not found on this PSN. Possible unexpected NAD behavior. Session belongs to this PSN according to hostname but may has already been reaped by timeout. This packet arrived too late.,Warning
12954,EAP,CRL signature check failed,The CRL found for specific CA does not fit the CA. Possible usage of more than one CA with the same name and CRL with no AKI for one of them. So ISE cannot determine to which CA the CRL belongs.,Warning
12955,RADIUS,RADIUS request that contains EAP message must contain MessageAuthenticator attribute,RADIUS request that contains EAP message must contain MessageAuthenticator attribute,Warning
12956,RADIUS,Client certificate validation failed due to name constraints permitted subtree violation,Client certificate validation failed due to name constraints permitted subtree violation,Warning
12957,RADIUS,Client certificate validation failed due to name constraints excluded subtree violation,Client certificate validation failed due to name constraints excluded subtree violation,Warning
12958,RADIUS,Client certificate validation failed due to min or max name constraints values violation,Client certificate validation failed due to min or max name constraints values violation,Warning
12959,RADIUS,Client certificate validation failed due to unsupported name constraint type,Client certificate validation failed due to unsupported name constraint type,Warning
12960,RADIUS,Client certificate validation failed due to bad or unsupported name constraint syntax,Client certificate validation failed due to bad or unsupported name constraint syntax,Warning
12961,RADIUS,Client certificate validation failed due to bad or unsupported name syntax of the constraint,Client certificate validation failed due to bad or unsupported name syntax of the constraint,Warning
12962,RADIUS,Reject User Authorization PAC since its Initiator-ID does not match the Tunnel PAC Initiator-ID,Reject User Authorization PAC since its Initiator-ID does not match the Tunnel PAC Initiator-ID,Warning
12963,RADIUS,Received malformed EAP Payload TLV,ISE received malformed EAP Payload TLV from the supplicant,Warning
12964,RADIUS,Sent EAP Result TLV indicating success,ISE sent EAP Result TLV indicating success,Debug
12965,RADIUS,Sent EAP Result TLV indicating failure,ISE sent EAP Result TLV indicating failure,Debug
12966,RADIUS,Sent EAP Intermediate Result TLV indicating success,ISE sent EAP Intermediate Result TLV indicating success,Debug
12967,RADIUS,Sent EAP Intermediate Result TLV indicating failure,ISE sent EAP Intermediate Result TLV indicating failure,Debug
12970,EAP,EAP-TTLS inner method finished with failure,EAP-TTLS inner method finished with failure.,INFO
12971,EAP,Extracted EAP-Response containing EAP-TTLS challenge-response,Continuing the EAP-TTLS protocol; processing the EAP-TTLS challenge-response in the extracted EAP-Response.,INFO
12972,EAP,EAP-TTLS failed SSL/TLS handshake because the client rejected the ISE local-certificate,EAP-TTLS failed SSL/TLS handshake because the client rejected the ISE local-certificate,WARN
12973,EAP,EAP-TTLS failed SSL/TLS handshake after a client alert,EAP-TTLS failed SSL/TLS handshake after a client alert,WARN
12974,EAP,EAP-TTLS handshake failed,EAP-TTLS handshake failed.,WARN
12975,EAP,EAP-TTLS authentication succeeded,EAP-TTLS authentication succeeded.,INFO
12976,EAP,EAP-TTLS authentication failed,EAP-TTLS authentication failed.,INFO
12977,EAP,"EAP-TTLS built tunnel based on earlier generated keys, this will imply authentication",EAP-TTLS short handshake finished successfully - built tunnel for purpose of authentication.,INFO
12978,EAP,Extracted EAP-Response containing EAP-TTLS challenge-response and accepting EAP-TTLS as negotiated,"Extracted from the RADIUS message an EAP-Response packet containing a EAP-TTLS challenge-response, and accepting EAP-TTLS as negotiated.",INFO
12979,EAP,Extracted EAP-Response/NAK requesting to use EAP-TTLS instead,"Extracted from the RADIUS message an EAP-Response/NAK packet, rejecting the previously-proposed EAP-based protocol, and requesting to use EAP-TTLS instead, per the configuration of the client's supplicant.",INFO
12980,EAP,Failed to negotiate EAP because EAP-TTLS not allowed in the Allowed Protocols,"The client's supplicant sent an EAP-Response/NAK packet rejecting the previously-proposed EAP-based protocol, and requesting to use EAP-TTLS instead. However, EAP-TTLS is not allowed in Allowed Protocols.",WARN
12981,Failed-Attempt,Supplicant stopped responding to ISE during EAP-TTLS tunnel establishment,Supplicant stopped responding to ISE during EAP-TTLS tunnel establishment,WARN
12982,Failed-Attempt,Supplicant stopped responding to ISE during EAP-TTLS plain inner MSCHAPv2 authentication flow,Supplicant stopped responding to ISE during EAP-TTLS plain inner MSCHAPv2 authentication flow,WARN
12983,EAP,Prepared EAP-Request proposing EAP-TTLS with challenge,"Created an EAP-Request packet proposing to use the EAP-TTLS protocol, and also providing a EAP-TTLS challenge, for attachment to a RADIUS message. The EAP-TTLS protocol was proposed because it was one of the EAP-based protocols allowed in Allowed Protocols.",INFO
12984,Failed-Attempt,Unexpected renegotiation received. Renegotiation is not supported in EAP_TTLS,Unexpected renegotiation received. Renegotiation is not supported in EAP_TTLS,WARN
12985,EAP,Prepared EAP-Request with another EAP-TTLS challenge,"As part of the continuation of the EAP-TTLS protocol, created an EAP-Request packet containing another EAP-TTLS challenge, for attachment to a RADIUS message.",INFO
12986,EAP,Client requested TLSv1.0 that is not allowed,Client requested TLSv1.0 as the highest version but it is not allowed in the security settings,WARN
12987,EAP,Take OCSP servers list from AIA extension of client certificate,Take OCSP servers list from AIA extension of client certificate,INFO
12988,EAP,Take OCSP servers list from OCSP service configuration,Take OCSP servers list from OCSP service configuration,INFO
12989,EAP,Sent an OCSP request to the next OCSP server in the list,Sent an OCSP request to the next OCSP server in the list,INFO
12990,EAP,No valid OCSP server URLs found in the AIA extension of client certificate,If the OCSP service was configured to take OCSP servers list from the AIA extension of client certificate then at least one valid OCSP server URL must be present.,WARN
12991,EAP,No more OCSP servers in AIA extension of client certificate,No more OCSP servers in AIA extension of client certificate,INFO
12992,EAP,No AIA extension in client certificate,No AIA extension in client certificate,INFO
12993,EAP,User Auth failed because OCSP is unreachable,User Auth failed because OCSP is unreachable,WARN
12994,EAP,EAP-TTLS inner method CHAP is not allowed in Allowed Protocols,EAP-TTLS inner method CHAP is not allowed in Allowed Protocols,WARN
12995,EAP,EAP-TTLS inner method MSCHAPv1 is not allowed in Allowed Protocols,EAP-TTLS inner method MSCHAPv1 is not allowed in Allowed Protocols,WARN
12996,EAP,EAP-TTLS inner method MSCHAPv2 is not allowed in Allowed Protocols,EAP-TTLS inner method MSCHAPv2 is not allowed in Allowed Protocols,WARN
12997,EAP,EAP-TTLS inner method PAP is not allowed in Allowed Protocols,EAP-TTLS inner method PAP is not allowed in Allowed Protocols,WARN
12998,EAP,Failed to negotiate EAP for inner method because EAP-MD5 not allowed under EAP-TTLS configuration in the Allowed Protocols,"The client's supplicant sent an EAP-Response/NAK packet rejecting the EAP-based protocol that was previously proposed for the inner method, and requested to use EAP-MD5 instead. However, ISE does not allow EAP-MD5 under EAP-TTLS configuration in Allowed Protocols.",WARN
12999,EAP,Extracted EAP-Response/NAK for inner method requesting to use EAP-MD5 instead,"From the EAP-Response packet encountered in the outer EAP method, extracted an EAP-Response/NAK packet, rejecting the EAP-based protocol previously proposed for the inner method, and requesting to use EAP-MD5 instead, per the configuration of the client's supplicant.",INFO
13000,TACACS,Invalid TACACS+ authorization request,The TACACS+ authorization request was not one that ISE supports,Warning
13001,TACACS,Invalid TACACS+ accounting request,The TACACS+ authorization request was not one that ISE supports,Warning
13002,TACACS,Started TACACS+ listener,Started TACACS+ listener,Info
13003,TACACS,Stopped TACACS+ listener,Stopped TACACS+ listener,Info
13004,TACACS,TACACS+ listener failed,TACACS+ listener failed,Error
13005,TACACS,Received TACACS+ Authorization Request,Received TACACS+ Authorization Request,Debug
13006,TACACS,Received TACACS+ Accounting Request,Received TACACS+ Accounting Request,Debug
13007,TACACS,Invalid TACACS+ packet header,The header of the TACACS+ packet failed to parse correctly,Warning
13008,TACACS,Reached TACACS+ maximum client limit,Check the Network Device or AAA Client and/or the network in between that device and ISE for hardware problems,Warning
13009,TACACS,Failed to accept TACACS+ client connection,"The attempt to accept a connection request from a TACACS+ client failed. This could occur if the client, after initiating the request 'hangs up' before ISE is able to accept the connection. If this happens frequently it could indicate a faulty device or a potential DOS attack",Warning
13010,TACACS,Received TACACS+ packet with invalid length,Received TACACS+ packet with less then 12 bytes or more than the defined maximum length,Warning
13011,TACACS,Invalid TACACS+ request packet - possibly mismatched Shared Secrets,The TACACS+ request packet was invalid. A likely reason is that the Shared Secret configured in the device  and the Shared Secret configured for the Network Device or AAA Client in ISE do not match,Warning
13012,TACACS,Invalid TACACS+ authentication request,The TACACS+ authentication request was not one that ISE supports,Error
13013,TACACS,Received TACACS+ Authentication START Request,Received TACACS+ Authentication START Request,Debug
13014,TACACS,Received TACACS+ Authentication CONTINUE Request,Received TACACS+ Authentication CONTINUE Request,Debug
13015,TACACS,Returned TACACS+ Authentication Reply,Returned TACACS+ Authentication Reply,Debug
13017,TACACS,Received TACACS+ packet from unknown Network Device or AAA Client,Received TACACS+ packet from unknown Network Device or AAA Client,Debug
13019,TACACS,Failed to obtain TACACS+ Settings,Failed to obtain TACACS+ Settings,Error
13020,TACACS,Get TACACS+ default network device setting,Obtain TACACS+ default network device setting,Info
13021,TACACS,TACACS+ request was dropped because of system overload,TACACS+ request was dropped because of system overload,Warning
13023,Device-administration,Command matched a Deny-Always rule,The requested Command matched a Deny-Always rule in one of the Command Sets,Debug
13024,Device-administration,Command matched a Permit rule,Command matched a Permit rule,Debug
13025,Device-administration,Command failed to match a Permit rule,Command failed to match a Permit rule,Debug
13027,TACACS,TACACS+ authorization request missing both User and Remote-Address attributes,TACACS+ authorization request missing both User and Remote-Address attributes,Warning
13029,TACACS,Requested privilege level too high,Requested privilege level too high,Error
13030,TACACS,TACACS+ authentication request missing a User name,TACACS+ authentication request missing a User name,Warning
13031,TACACS,TACACS+ authentication request missing user Password,TACACS+ authentication request missing user Password,Warning
13032,TACACS,Fatal Error accessing TACACS+ configuration,Fatal Error accessing TACACS+ configuration,Error
13034,TACACS,Returned TACACS+ Authorization Reply,Returned TACACS+ Authorization Reply,Debug
13035,TACACS,Returned TACACS+ Accounting Reply,Returned TACACS+ Accounting Reply,Debug
13036,TACACS,Selected Shell Profile is DenyAccess,Selected Shell Profile is DenyAccess,Info
13037,TACACS,Shell Profile Privilege Level not configured correctly,Shell Profile Privilege Level not configured correctly,Info
13038,TACACS,TACACS+ request failed because of a critical logging Error,TACACS+ request failed because of a critical logging Error,Info
13039,TACACS,TACACS+ authentication request does not contain the user's new password,The TACACS+ authentication request does not contain the user's new password.,WARN
